iter	Logloss
0	0.6637064301
1	0.6359738565
2	0.6091149235
3	0.5855171826
4	0.5634709566
5	0.543215914
6	0.5244497766
7	0.5072345242
8	0.4920231649
9	0.47800281
10	0.4645580374
11	0.4504804582
12	0.4389194296
13	0.428136489
14	0.4180762701
15	0.4091745855
16	0.4003792872
17	0.3924029875
18	0.3851839268
19	0.3787606538
20	0.3726788689
21	0.3668691283
22	0.3615227887
23	0.3554838041
24	0.3511317581
25	0.3467860109
26	0.341820149
27	0.3378952861
28	0.3345912622
29	0.3314459991
30	0.3278014318
31	0.3246830959
32	0.3212676467
33	0.3176752018
34	0.3145284269
35	0.3123225004
36	0.309583162
37	0.3078565411
38	0.3048258212
39	0.3030661946
40	0.3015708018
41	0.2992105868
42	0.2980699411
43	0.2966096955
44	0.2948465416
45	0.2929594278
46	0.2914906158
47	0.2904171781
48	0.2892974444
49	0.2884073641
50	0.2876280164
51	0.2863904325
52	0.2852547944
53	0.284576731
54	0.2829436154
55	0.2824642154
56	0.2813801957
57	0.2807008726
58	0.2800848836
59	0.2791717183
60	0.2780843603
61	0.2773610087
62	0.2760767509
63	0.2755301744
64	0.2751673648
65	0.2746598723
66	0.2733377274
67	0.2728535718
68	0.2724895654
69	0.2721708158
70	0.2709833702
71	0.2707151053
72	0.2699517249
73	0.2696870188
74	0.2686197854
75	0.2681359448
76	0.2675798257
77	0.2667166412
78	0.2664362196
79	0.2652540335
80	0.2649815169
81	0.2643256251
82	0.2635943843
83	0.2627798421
84	0.2620623483
85	0.2618235932
86	0.2613406816
87	0.2610428597
88	0.2607836335
89	0.2605472246
90	0.2602843923
91	0.2598069765
92	0.2592420234
93	0.2590117558
94	0.2583957826
95	0.2582323135
96	0.2579845826
97	0.2578305145
98	0.2575502031
99	0.2573399027
100	0.2570237356
101	0.256762604
102	0.2564425631
103	0.2562334279
104	0.2559660763
105	0.2557635706
106	0.2555262326
107	0.2552086325
108	0.2548047391
109	0.2542497223
110	0.2537106415
111	0.2535327955
112	0.2531524123
